"road_A_bike","road_A_car","road_B_bike","road_B_car","road_C_bike","road_C_car"
"212","234","233","210","100","103"
"53.3490566037736","55.3632478632479","56.6845493562232","57.0952380952381","42.4","39.3932038834951"
"7.5","32.5","37.5","37.5","32.5","32.5"
"87.5","92.5","87.5","87.5","67.5","52.5"
"42.5","47.5","47.5","47.5","32.5","32.5"
"47.5","47.5","47.5","52.5","37.5","32.5"
"52.5","57.5","52.5","57.5","42.5","37.5"
"52.5","47.5","52.5","52.5","37.5","37.5"
"62.5","62.5","62.5","62.5","47.5","42.5"
"62.5","67.5","67.5","67.5","48.25","47.5"
