??,??,B_bike,B_car,C_bike,C_car
55,42,67,44,37,35
49,32,63,39,46,35
43,40,65,44,40,33
41,43,47,43,33,28
42,53,42,44,32,38
41,41,51,47,35,32
44,43,57,47,30,32
43,32,40,38,44,30
55,36,44,43,32,41
58,47,43,42,27,35
43,49,42,38,29,30
46,45,53,60,26,40
51,49,45,41,40,35
58,49,47,58,41,41
57,48,36,57,35,29
33,50,34,51,53,47
58,45,38,48,49,39
51,52,60,48,48,31
57,50,41,48,36,32
52,51,37,50,40,35
51,54,42,49,36,44
55,55,39,45,33,31
53,55,67,49,31,34
52,59,58,51,29,33
47,55,57,48,34,29
40,60,53,41,38,32
43,51,55,46,31,34
44,59,51,46,41,37
47,48,49,34,35,40
43,59,50,43,40,30
26,41,45,42,35,41
56,43,46,44,33,38
49,44,41,38,40,36
43,57,46,47,34,30
44,50,36,56,38,30
38,49,40,54,39,29
40,52,35,56,37,36
55,41,43,49,35,34
48,42,45,48,33,30
43,43,46,58,28,29
45,45,44,58,44,31
42,42,46,52,47,29
49,39,39,34,41,31
44,46,51,41,39,37
55,39,36,47,39,37
53,51,44,50,32,39
52,49,41,56,29,29
45,50,50,42,35,32
50,52,62,39,36,31
47,51,61,47,33,34
38,52,50,47,30,39
44,63,53,50,28,39
27,34,58,61,31,35
63,54,57,59,48,30
42,52,44,55,35,33
53,48,54,74,32,28
41,46,46,44,33,31
35,48,48,41,33,37
55,43,54,46,28,27
46,43,52,47,28,36
43,32,35,50,38,29
40,42,36,46,39,38
28,35,43,51,32,39
47,40,45,59,28,30
45,35,37,62,34,30
50,47,35,54,31,36
54,48,31,58,29,32
52,47,48,65,31,38
45,54,43,58,43,33
45,37,58,34,44,30
37,50,54,42,39,34
63,35,75,48,35,32
41,41,61,50,32,34
58,41,60,44,32,33
55,47,59,45,35,30
46,47,63,47,38,42
47,48,46,44,31,41
52,45,40,43,31,34
41,58,44,47,42,34
46,59,44,46,57,35
40,57,47,47,32,32
66,56,39,54,28,42
55,54,46,55,30,40
56,54,54,54,30,39
39,58,44,56,44,30
37,48,59,47,48,38
33,47,53,57,44,34
34,57,51,59,43,34
43,56,47,55,50,30
37,30,47,59,38,31
46,43,44,57,41,34
45,44,38,56,42,44
60,37,42,63,35,30
39,60,43,60,33,32
35,58,48,53,29,33
57,42,34,43,35,35
45,38,54,50,37,30
37,55,49,53,34,30
43,48,48,48,35,30
54,47,40,47,49,37
26,46,63,44,,42
38,51,51,55,,35
44,56,43,43,,40
49,52,71,48,,
32,45,51,37,,
50,42,56,34,,
56,46,48,35,,
54,47,41,36,,
49,47,45,53,,
24,50,44,43,,
76,50,43,50,,
49,57,44,38,,
52,49,47,48,,
29,50,60,64,,
38,35,55,48,,
32,35,59,46,,
29,52,46,52,,
34,36,49,48,,
55,37,51,55,,
48,50,59,45,,
43,43,50,45,,
47,33,34,43,,
53,46,62,56,,
49,42,44,44,,
61,50,46,43,,
36,55,50,49,,
37,61,46,41,,
41,42,36,39,,
44,70,46,45,,
50,47,51,55,,
56,62,66,50,,
36,46,45,46,,
51,43,50,40,,
56,51,40,46,,
51,42,46,45,,
34,40,42,64,,
32,39,49,64,,
34,49,48,40,,
49,64,45,43,,
39,76,48,54,,
32,45,47,59,,
40,36,50,48,,
46,58,46,51,,
49,36,45,52,,
36,37,45,44,,
48,35,39,49,,
5,39,57,48,,
55,42,71,45,,
47,40,51,45,,
51,44,45,42,,
49,46,44,48,,
55,44,41,63,,
34,40,46,62,,
26,79,48,46,,
33,53,60,50,,
40,51,45,55,,
50,49,44,49,,
37,62,42,52,,
46,54,38,57,,
47,43,53,50,,
40,52,32,45,,
31,44,58,52,,
60,40,52,40,,
68,40,47,40,,
53,46,59,52,,
47,62,45,63,,
62,43,51,50,,
49,55,60,53,,
43,50,53,52,,
44,43,54,49,,
45,50,47,45,,
37,45,40,46,,
47,37,45,45,,
50,39,46,46,,
47,37,37,46,,
40,50,42,52,,
72,60,46,56,,
47,64,42,46,,
61,46,44,65,,
46,60,45,69,,
49,59,45,60,,
69,39,43,67,,
50,48,43,53,,
48,41,34,54,,
43,32,47,61,,
49,49,50,48,,
45,59,46,48,,
51,37,43,49,,
47,39,45,46,,
40,49,67,43,,
58,43,52,47,,
45,42,55,50,,
40,36,57,37,,
35,57,53,41,,
71,53,50,53,,
42,37,52,56,,
35,51,45,64,,
35,68,56,54,,
54,47,51,51,,
53,65,51,50,,
54,42,47,46,,
53,47,54,46,,
47,53,40,54,,
49,49,34,51,,
49,55,41,47,,
40,41,42,57,,
41,30,62,55,,
58,42,46,48,,
54,48,43,58,,
49,39,50,54,,
49,46,51,,,
50,57,50,,,
,61,58,,,
,57,59,,,
,54,58,,,
,51,59,,,
,42,54,,,
,51,59,,,
,47,50,,,
,52,48,,,
,52,42,,,
,56,66,,,
,47,53,,,
,48,57,,,
,46,53,,,
,50,61,,,
,46,76,,,
,49,57,,,
,62,66,,,
,51,54,,,
,54,74,,,
,55,66,,,
,64,58,,,
,42,,,,
