"upper","lower","mid","n","rate","cumrate","s","s^2"
"0","5","2.5","0","0","0","0","0"
"5","10","7.5","0","0","0","0","0"
"10","15","12.5","0","0","0","0","0"
"15","20","17.5","0","0","0","0","0"
"20","25","22.5","0","0","0","0","0"
"25","30","27.5","0","0","0","0","0"
"30","35","32.5","2","0.854700854700855","0.854700854700855","65","2112.5"
"35","40","37.5","6","2.56410256410256","3.41880341880342","225","8437.5"
"40","45","42.5","20","8.54700854700855","11.965811965812","850","36125"
"45","50","47.5","50","21.3675213675214","33.3333333333333","2375","112812.5"
"50","55","52.5","38","16.2393162393162","49.5726495726496","1995","104737.5"
"55","60","57.5","48","20.5128205128205","70.0854700854701","2760","158700"
"60","65","62.5","34","14.5299145299145","84.6153846153846","2125","132812.5"
"65","70","67.5","21","8.97435897435897","93.5897435897436","1417.5","95681.25"
"70","75","72.5","10","4.27350427350427","97.8632478632479","725","52562.5"
"75","80","77.5","2","0.854700854700855","98.7179487179487","155","12012.5"
"80","85","82.5","1","0.427350427350427","99.1452991452991","82.5","6806.25"
"85","90","87.5","1","0.427350427350427","99.5726495726496","87.5","7656.25"
"90","95","92.5","1","0.427350427350427","100","92.5","8556.25"
"-","Total","-","234","100","-","12955","739012.5"
